name,count,changed,beforeNorm,afterNorm,deltaNorm,maxAbsDelta,beforeFinite,afterFinite
roberta.encoder.layer.0.intermediate.dense.bias,3072,3071,7.157851324320449,7.157804973038151,0.0015911145398371488,8.707493543624878e-05,True,True
roberta.encoder.layer.0.intermediate.dense.weight,2359296,2359099,85.54167925055579,85.54165416320522,0.031890807236401926,9.147543460130692e-05,True,True
roberta.encoder.layer.0.output.LayerNorm.bias,768,768,3.5362336868574062,3.5362294294277636,0.0010903001807135767,8.588656783103943e-05,True,True
roberta.encoder.layer.0.output.LayerNorm.weight,768,767,15.931134889081356,15.931136605595777,0.0006896030855996407,8.195638656616211e-05,True,True
roberta.encoder.layer.0.output.dense.bias,768,768,2.2294822626138164,2.229445144259449,0.0010964447753807308,8.809566497802734e-05,True,True
roberta.encoder.layer.0.output.dense.weight,2359296,2359192,69.3104598531664,69.31047474542152,0.04267632755018417,9.433180093765259e-05,True,True
roberta.encoder.layer.1.attention.output.LayerNorm.bias,768,768,4.272314481908381,4.272332796511365,0.0011192457121054714,9.165704250335693e-05,True,True
roberta.encoder.layer.1.attention.output.LayerNorm.weight,768,767,18.742741134681292,18.74278947447735,0.0006920402826023851,7.802248001098633e-05,True,True
roberta.encoder.layer.1.attention.output.dense.bias,768,768,2.4055034230984247,2.40552628718864,0.0011291732964410993,9.185820817947388e-05,True,True
roberta.encoder.layer.1.attention.output.dense.weight,589824,589799,29.114542846100704,29.114547811739715,0.019646954054011064,9.411340579390526e-05,True,True
roberta.encoder.layer.1.attention.self.key.bias,768,768,0.04607882052586116,0.04607889086274308,1.1149808604670128e-06,2.849847078323364e-07,True,True
roberta.encoder.layer.1.attention.self.key.weight,589824,589770,56.3189478937228,56.318981479128844,0.013559806114313757,8.278526365756989e-05,True,True
roberta.encoder.layer.1.attention.self.query.bias,768,768,6.729191574466549,6.729240427934592,0.0006514929159178244,8.368492126464844e-05,True,True
roberta.encoder.layer.1.attention.self.query.weight,589824,589754,57.381492260971,57.38150178256927,0.013575047410981853,8.615106344223022e-05,True,True
roberta.encoder.layer.1.attention.self.value.bias,768,768,0.9871731736222084,0.9871606512739156,0.001082561191222783,8.759461343288422e-05,True,True
roberta.encoder.layer.1.attention.self.value.weight,589824,589806,32.0706798359405,32.070683523546066,0.018429825021565163,9.687617421150208e-05,True,True
roberta.encoder.layer.1.intermediate.dense.bias,3072,3072,6.4829853173925285,6.482899696874876,0.0015449122212070582,8.999370038509369e-05,True,True
roberta.encoder.layer.1.intermediate.dense.weight,2359296,2359120,93.01355702853328,93.01353321858372,0.03148054005900841,9.496882557868958e-05,True,True
roberta.encoder.layer.1.output.LayerNorm.bias,768,768,2.095280471567705,2.0952212300922657,0.0011432116371726934,9.222328662872314e-05,True,True
roberta.encoder.layer.1.output.LayerNorm.weight,768,766,17.72857523898558,17.728542393551763,0.000733099683041687,7.724761962890625e-05,True,True
roberta.encoder.layer.1.output.dense.bias,768,768,2.0597680771413645,2.059706311173068,0.0011707815593071168,9.076297283172607e-05,True,True
roberta.encoder.layer.1.output.dense.weight,2359296,2359194,72.09737513434223,72.09739988226355,0.042656364279366206,9.63364727795124e-05,True,True
roberta.encoder.layer.10.attention.output.LayerNorm.bias,768,768,2.262770340009875,2.2627101764296955,0.0016317998722279684,9.683147072792053e-05,True,True
roberta.encoder.layer.10.attention.output.LayerNorm.weight,768,768,22.454955877742222,22.454861389907304,0.001361801379566535,9.435415267944336e-05,True,True
roberta.encoder.layer.10.attention.output.dense.bias,768,768,2.1236014528493796,2.1236109970224755,0.001642846502833891,9.736418724060059e-05,True,True
roberta.encoder.layer.10.attention.output.dense.weight,589824,589816,27.47940511764131,27.479433881190793,0.03676676741456224,0.0001042298972606659,True,True
roberta.encoder.layer.10.attention.self.key.bias,768,742,0.5123834962569758,0.5123835266608308,6.553209375445134e-07,1.7543788999319077e-07,True,True
roberta.encoder.layer.10.attention.self.key.weight,589824,589800,49.390068680526745,49.39012817096652,0.025884973415875825,0.00010070018470287323,True,True
roberta.encoder.layer.10.attention.self.query.bias,768,768,4.209308600833092,4.209185232667001,0.0010832943983823987,8.896691724658012e-05,True,True
roberta.encoder.layer.10.attention.self.query.weight,589824,589794,51.21591814419114,51.21596093542613,0.02600531369033183,9.714579209685326e-05,True,True
roberta.encoder.layer.10.attention.self.value.bias,768,768,0.6319246156238258,0.6320399853315983,0.0016677662141867044,9.632948786020279e-05,True,True
roberta.encoder.layer.10.attention.self.value.weight,589824,589814,31.779331614472653,31.779414758664124,0.03709698932895155,0.00010208040475845337,True,True
roberta.encoder.layer.10.intermediate.dense.bias,3072,3072,5.3254836296399075,5.325364305002966,0.002714501614787196,0.00010447204113006592,True,True
roberta.encoder.layer.10.intermediate.dense.weight,2359296,2359246,67.72095747630735,67.72066645246139,0.06414408720883594,0.00010816752910614014,True,True
